RegionRank	Rank	Name	Rating
767	1603	Rei◇	1620.739
769	1606	MLBD	1620.705
770	1609	BLiiND	1620.623
771	1610	Jay	1620.611
772	1611	STATS*Ike	1620.605
773	1612	Kreimer	1620.539
775	1617	Chris	1620.229
776	1620	Kanon	1620.033
777	1621	Kevin	1620.012
778	1622	Ludgero	1620.009
779	1624	Michael	1619.958
780	1626	Kasper	1619.932
781	1629	Sadie	1619.861
782	1631	Okii	1619.842
783	1634	Peakmeister	1619.804
787	1643	Chad	1619.435
789	1645	James	1619.338
791	1650	Wasp	1619.177
792	1651	Mike	1619.172
793	1655	Kenepa	1619.012
795	1657	Craig	1618.951
797	1659	Jill	1618.837
800	1665	Matthew	1618.527
801	1668	Jacoooooooob	1618.416
802	1671	Aery	1618.223
803	1672	Scott	1618.216
804	1675	El Pavo	1618.157
805	1678	Arty	1618.07
808	1684	Mocha	1617.822
809	1688	Sam	1617.691
810	1690	Carson	1617.655
811	1691	Brad	1617.61
814	1704	Kaj	1617.181
815	1706	Jason	1617.08
816	1710	Andrew	1616.854
817	1711	enscion	1616.849
818	1712	Noah	1616.717
820	1716	Celtik	1616.626
821	1717	Labacedo	1616.604
823	1722	Dan	1616.461
825	1724	Aires	1616.393
827	1726	Nikk	1616.351
830	1729	Sir Goolsby	1616.291
832	1732	Sloth Diesel	1616.202
834	1737	Lii	1615.932
835	1738	Kotori	1615.926
837	1743	Vivi	1615.774
838	1745	Nehzzy	1615.623
839	1747	Ruby	1615.577
841	1751	Dolfs	1615.449
842	1752	Budru	1615.438
843	1753	Esgar	1615.436
845	1757	Marashu	1615.342
846	1758	Luca	1615.3
847	1759	Red	1615.245
848	1760	Alex	1615.157
849	1762	bgf	1614.968
851	1767	ItzJhon	1614.828
853	1778	Ryo	1614.409
854	1779	Darth Silva	1614.389
855	1780	Dífu	1614.349
858	1786	LuckyMouse	1614.227
859	1787	Hunt	1614.206
860	1789	Scotty	1614.201
861	1792	Gateishion	1614.071
863	1800	lJeff	1613.777
865	1806	Black	1613.608
866	1807	TG Homero	1613.579
868	1809	Cody	1613.53
870	1815	Slayycoco	1613.319
873	1822	Zanzibar	1613.13
874	1824	Aerodzee	1612.959
875	1826	Oscar	1612.92
876	1829	Mattie	1612.798
878	1833	FLima	1612.663
882	1840	Billy	1612.496
885	1847	Juliana	1612.266
889	1855	Rob	1611.903
890	1857	Eoin	1611.808
891	1858	Explo	1611.777
892	1859	OneWngdAngl	1611.719
893	1862	Robstar-Z	1611.585
894	1863	Hunt	1611.505
895	1864	Ryusei	1611.479
900	1875	Bubs!	1611.17
901	1876	Jamin	1611.154
902	1877	0rion	1611.148
903	1879	Thomas	1611.114
904	1880	Braverius	1611.096
905	1883	Garras	1611.07
908	1892	Marioha	1610.931
909	1894	Timothy	1610.883
912	1897	Cumberbun	1610.778
913	1898	Mishi	1610.762
915	1900	P Donz	1610.679
916	1901	Andy	1610.658
917	1905	Sushi	1610.569
918	1906	Yuki	1610.555
921	1910	Karl	1610.41
922	1912	Plant	1610.361
924	1914	Hunter	1610.326
927	1919	Quazy	1610.238
929	1922	Scarlet22	1610.215
930	1923	Tera Rob	1610.191
931	1927	Anthony	1610.133
932	1929	XanVGC	1610.081
933	1930	Yummz	1610.03
934	1931	Tomás	1610.015
935	1935	Geordi	1609.824
936	1936	Arcstiihn	1609.742
938	1938	Dan	1609.678
939	1940	Aldrich	1609.672
941	1945	Kevin	1609.435
943	1952	Richard	1609.186
944	1956	Mo	1609.127
945	1957	Kortex	1609.092
949	1964	LaloBethel®	1608.793
951	1969	Robert	1608.679
952	1972	Greencito	1608.593
953	1975	Logan	1608.445
954	1977	Cartman	1608.201
955	1980	XcZachX20	1608.146
956	1981	Roberto	1608.136
957	1983	Adam	1608.111
958	1984	evni	1608.077
959	1985	Ichigo	1608.068
963	1994	Papito	1607.898
964	1996	Dash	1607.828
967	2001	Patillac	1607.713
968	2002	Reaper	1607.712
970	2014	ConnerTEP	1607.41
973	2017	Biplab	1607.325
975	2020	Ventous	1607.249
976	2022	Rushan	1607.181
978	2025	matt	1607.094
979	2026	Nickles	1607.08
980	2027	Ryan Wayne	1607.067
981	2028	CaptJorgito	1607.025
984	2031	Big A	1606.987
985	2032	Peetorr	1606.973
986	2033	Jori	1606.96
987	2036	Jay	1606.88
989	2038	Megumi~	1606.837
991	2043	Joseph	1606.683
993	2047	Sebas♪	1606.636
995	2050	Lūqē	1606.521
996	2051	Carlo	1606.489
997	2053	Mynkbtb	1606.474
998	2054	Cach92	1606.446
1000	2069	Jack	1606.128
1001	2070	Pando	1606.079
1006	2075	Thomas	1605.943
1008	2082	Tzvi	1605.777
1009	2084	Kyruto	1605.763
1010	2085	Julian	1605.75
1012	2089	Melody	1605.713
1013	2092	Dale Mcnail	1605.71
1014	2092	Thaz	1605.71
1015	2094	PlataM	1605.704
1016	2095	Deba	1605.685
1020	2100	Adry	1605.556
1022	2103	Babidehh	1605.431
1024	2109	Bird	1605.266
1031	2130	Lycoris	1604.537
1032	2136	Jhonatan	1604.366
1033	2138	Cannor	1604.22
1034	2139	Blaidd	1604.214
1035	2141	Leaf	1604.074
1037	2144	Mike	1604.039
1038	2145	★IsraVGC★	1604.018
1039	2147	Braden	1603.962
1041	2151	Orange Steve	1603.714
1043	2155	T-Kennard	1603.661
1044	2160	TJ	1603.523
1045	2161	Stan	1603.515
1046	2162	Keanu	1603.471
1048	2164	Minh	1603.447
1050	2166	Fofer	1603.407
1051	2167	Jenny	1603.394
1054	2176	Bryan	1603.196
1057	2180	DvD♪	1603.093
1059	2184	★Gato-T★	1602.977
1060	2186	Quantumslack	1602.965
1062	2190	Dat Bish	1602.778
1064	2199	Pedro	1602.496
1065	2207	Saber	1602.321
1068	2215	Dina	1602.161
1071	2224	Jitterz	1601.798
1074	2232	Izzy	1601.652
1075	2233	cricket	1601.64
1076	2236	Bepis	1601.445
1077	2237	Koloflame	1601.435
1080	2240	Dan	1601.369
1081	2243	Val	1601.257
1082	2246	Mark	1601.171
1083	2248	Jacob	1601.096
1087	2262	Solanum	1600.683
1088	2265	Tofu	1600.575
1089	2266	JJ	1600.546
1090	2267	Angel	1600.52
1091	2268	Oz	1600.518
1093	2273	Eclipse	1600.399
1095	2275	Eduardo	1600.371
1097	2283	Daniel	1600.24
1098	2285	dashiCH	1600.202
1100	2287	Lacus	1600.113
1103	2290	Eugene	1600.06
1104	2292	Justinn	1600.044
1105	2294	OcramVGC	1599.92
1106	2297	Timp	1599.882
1109	2303	MillerTime	1599.604
1111	2307	Lorenzo	1599.443
1112	2308	Condor	1599.431
1113	2310	Tovar	1599.42
1115	2314	Matt	1599.318
1116	2315	James	1599.288
1118	2317	Matt	1599.237
1119	2318	Nork	1599.235
1120	2319	Blade	1599.231
1122	2327	SirCrombie	1599.04
1124	2330	Solid Calf	1598.908
1125	2332	Clayton	1598.747
1127	2335	Looker Tail	1598.621
1128	2336	neth	1598.591
1129	2339	Pedro	1598.505
1130	2341	Miguedeth10	1598.378
1131	2342	Connor	1598.362
1134	2347	Henry	1598.247
1137	2352	Jimmy	1598.017
1140	2357	Lily	1597.925
1141	2360	Oliver	1597.856
1144	2366	Velozozz	1597.68
1145	2368	RakeyVGC	1597.603
1147	2372	Danny	1597.368
1148	2373	Amethyst	1597.293
1150	2375	Aki	1597.258
1151	2379	Terry	1597.194
1153	2384	Alpaca	1597.095
1154	2386	laleli	1597.047
1155	2388	Edd	1596.951
1157	2391	Buckshot	1596.874
1161	2396	Cochamo	1596.495
1162	2398	_b4b4baldi	1596.481
1167	2405	Deez Nuts	1596.074
1168	2407	Yuki	1596.019
1169	2409	Rafa	1595.994
1171	2414	Breezy	1595.863
1172	2416	Ben	1595.836
1173	2417	Odín	1595.765
1174	2418	Blare	1595.662
1175	2419	Kamai	1595.658
1179	2425	ÜMønt BlançÜ	1595.415
1180	2426	keklord	1595.404
1182	2429	Josh	1595.338
1183	2430	CareyKitty	1595.315
